ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,ORDERDATE,STATUS,DEALSIZE,QUANTITYORDERED,PRICEEACH,SALES
10107,S10_1678,Land of Toys Inc.,24/02/2018,Shipped,Small,30,95.7,2871
10121,S10_1678,Reims Collectables,7/5/2018,Shipped,Small,34,81.35,2765.9
10134,S10_1678,Lyon Souveniers,1/7/2018,Shipped,Medium,41,94.74,3884.34
10145,S10_1678,Toys4GrownUps.com,25/08/2018,Shipped,Medium,45,83.26,3746.7
10168,S10_1678,Technics Stores Inc.,28/10/2018,Shipped,Medium,36,96.66,3479.76
10180,S10_1678,Daedalus Designs Imports,11/11/2018,Shipped,Small,29,86.13,2497.77
10188,S10_1678,Herkku Gifts,18/11/2018,Shipped,Medium,48,114.84,5512.32
10211,S10_1678,Auto Canal Petit,15/01/2019,Shipped,Medium,41,114.84,4708.44
10223,S10_1678,"Australian Collectors, Co.",20/02/2019,Shipped,Medium,37,107.18,3965.66
10237,S10_1678,Vitachrome Inc.,5/4/2019,Shipped,Small,23,101.44,2333.12
10251,S10_1678,Tekni Collectables Inc.,18/05/2019,Shipped,Medium,28,113.88,3188.64
10263,S10_1678,Gift Depot Inc.,28/06/2019,Shipped,Medium,34,108.14,3676.76
10275,S10_1678,La Rochelle Gifts,23/07/2019,Shipped,Medium,45,92.83,4177.35
10285,S10_1678,Marta's Replicas Co.,27/08/2019,Shipped,Medium,36,113.88,4099.68
10299,S10_1678,"Toys of Finland, Co.",30/09/2019,Shipped,Small,23,112.93,2597.39
10309,S10_1678,Baane Mini Imports,15/10/2019,Shipped,Medium,41,107.18,4394.38
10318,S10_1678,Diecast Classics Inc.,2/11/2019,Shipped,Medium,46,94.74,4358.04
10329,S10_1678,Land of Toys Inc.,15/11/2019,Shipped,Medium,42,104.67,4396.14
10341,S10_1678,Salzburg Collectables,24/11/2019,Shipped,Large,41,188.73,7737.93
10361,S10_1678,Souveniers And Things Co.,17/12/2019,Shipped,Small,20,72.55,1451
10375,S10_1678,La Rochelle Gifts,3/2/2020,Shipped,Small,21,34.91,733.11
10388,S10_1678,FunGiftIdeas.com,3/3/2020,Shipped,Medium,42,76.36,3207.12
10403,S10_1678,"UK Collectables, Ltd.",8/4/2020,Shipped,Small,24,101.44,2434.56
10417,S10_1678,Euro Shopping Channel,13/05/2020,Disputed,Large,66,113.88,7516.08
10103,S10_1949,Baane Mini Imports,29/01/2018,Shipped,Medium,26,207.87,5404.62
10112,S10_1949,"Volvo Model Replicas, Co",24/03/2018,Shipped,Large,29,248.59,7209.11
10126,S10_1949,"Corrida Auto Replicas, Ltd",28/05/2018,Shipped,Large,38,192.87,7329.06
10140,S10_1949,Technics Stores Inc.,24/07/2018,Shipped,Large,37,199.3,7374.1
10150,S10_1949,"Dragon Souveniers, Ltd.",19/09/2018,Shipped,Large,45,244.3,10993.5
10163,S10_1949,Classic Legends Inc.,20/10/2018,Shipped,Medium,21,231.44,4860.24
10174,S10_1949,"Australian Gift Network, Co",6/11/2018,Shipped,Large,34,235.73,8014.82
10183,S10_1949,"Classic Gift Ideas, Inc",13/11/2018,Shipped,Medium,23,233.59,5372.57
10194,S10_1949,"Saveley & Henriot, Co.",25/11/2018,Shipped,Large,42,173.58,7290.36
10206,S10_1949,Canadian Gift Exchange Network,5/12/2018,Shipped,Large,47,192.87,9064.89
10215,S10_1949,West Coast Collectables Co.,29/01/2019,Shipped,Medium,35,173.58,6075.3
10228,S10_1949,Cambridge Collectables Co.,10/3/2019,Shipped,Medium,29,222.87,6463.23
10245,S10_1949,Super Scale Inc.,4/5/2019,Shipped,Medium,34,180.01,6120.34
10258,S10_1949,"Tokyo Collectables, Ltd",15/06/2019,Shipped,Large,32,240.02,7680.64
10270,S10_1949,Souveniers And Things Co.,19/07/2019,Shipped,Medium,21,233.59,4905.39
10280,S10_1949,Amica Models & Co.,17/08/2019,Shipped,Large,34,235.73,8014.82
10291,S10_1949,Scandinavian Gift Ideas,8/9/2019,Shipped,Large,37,192.87,7136.19
10304,S10_1949,Auto Assoc. & Cie.,11/10/2019,Shipped,Large,47,216.44,10172.7
10312,S10_1949,Mini Gifts Distributors Ltd.,21/10/2019,Shipped,Large,48,242.16,11623.7
10322,S10_1949,Online Diecast Creations Co.,4/11/2019,Shipped,Medium,40,150.01,6000.4
10347,S10_1949,"Australian Collectors, Co.",29/11/2019,Shipped,Medium,30,131.49,3944.7
10357,S10_1949,Mini Gifts Distributors Ltd.,10/12/2019,Shipped,Medium,32,177.87,5691.84
10369,S10_1949,Collectables For Less Inc.,20/01/2020,Shipped,Medium,41,110.12,4514.92
10391,S10_1949,"Anna's Decorations, Ltd",9/3/2020,Shipped,Small,24,100.69,2416.56
10411,S10_1949,Quebec Home Shopping Network,1/5/2020,Shipped,Medium,23,180.01,4140.23
10424,S10_1949,Euro Shopping Channel,31/05/2020,In Process,Large,50,240.02,12001
10107,S10_2016,Land of Toys Inc.,24/02/2018,Shipped,Medium,39,99.91,3896.49
10120,S10_2016,"Australian Collectors, Co.",29/04/2018,Shipped,Small,29,96.34,2793.86
10134,S10_2016,Lyon Souveniers,1/7/2018,Shipped,Medium,27,122.51,3307.77
10145,S10_2016,Toys4GrownUps.com,25/08/2018,Shipped,Medium,37,140.35,5192.95
10168,S10_2016,Technics Stores Inc.,28/10/2018,Shipped,Medium,27,135.59,3660.93
10180,S10_2016,Daedalus Designs Imports,11/11/2018,Shipped,Medium,42,111.8,4695.6
10188,S10_2016,Herkku Gifts,18/11/2018,Shipped,Medium,38,96.34,3660.92
10210,S10_2016,Osaka Souveniers Co.,12/1/2019,Shipped,Medium,23,130.83,3009.09
10223,S10_2016,"Australian Collectors, Co.",20/02/2019,Shipped,Medium,47,115.37,5422.39
10236,S10_2016,Motor Mint Distributors Inc.,3/4/2019,Shipped,Small,22,129.64,2852.08
10251,S10_2016,Tekni Collectables Inc.,18/05/2019,Shipped,Medium,44,130.83,5756.52
10263,S10_2016,Gift Depot Inc.,28/06/2019,Shipped,Medium,40,111.8,4472
10275,S10_2016,La Rochelle Gifts,23/07/2019,Shipped,Small,22,132.02,2904.44
10285,S10_2016,Marta's Replicas Co.,27/08/2019,Shipped,Medium,47,137.97,6484.59
10298,S10_2016,Atelier graphique,27/09/2019,Shipped,Medium,39,96.34,3757.26
10308,S10_2016,Mini Classics,15/10/2019,Shipped,Medium,34,118.94,4043.96
10318,S10_2016,Diecast Classics Inc.,2/11/2019,Shipped,Medium,45,123.7,5566.5
10329,S10_2016,Land of Toys Inc.,15/11/2019,Shipped,Medium,20,158.8,3176
10339,S10_2016,"Tokyo Collectables, Ltd",23/11/2019,Shipped,Small,40,68.92,2756.8
10361,S10_2016,Souveniers And Things Co.,17/12/2019,Shipped,Small,26,51.15,1329.9
10374,S10_2016,"Australian Gift Network, Co",2/2/2020,Shipped,Medium,39,135.59,5288.01
10388,S10_2016,FunGiftIdeas.com,3/3/2020,Shipped,Small,50,44.51,2225.5
10402,S10_2016,Auto Canal Petit,7/4/2020,Shipped,Medium,45,129.64,5833.8
10417,S10_2016,Euro Shopping Channel,13/05/2020,Disputed,Medium,45,130.83,5887.35
10107,S10_4698,Land of Toys Inc.,24/02/2018,Shipped,Medium,27,224.65,6065.55
10120,S10_4698,"Australian Collectors, Co.",29/04/2018,Shipped,Large,46,201.41,9264.86
10134,S10_4698,Lyon Souveniers,1/7/2018,Shipped,Large,31,226.58,7023.98
10145,S10_4698,Toys4GrownUps.com,25/08/2018,Shipped,Medium,33,156.86,5176.38
10168,S10_4698,Technics Stores Inc.,28/10/2018,Shipped,Medium,20,209.15,4183
10180,S10_4698,Daedalus Designs Imports,11/11/2018,Shipped,Large,41,216.9,8892.9
10188,S10_4698,Herkku Gifts,18/11/2018,Shipped,Large,45,193.66,8714.7
10210,S10_4698,Osaka Souveniers Co.,12/1/2019,Shipped,Medium,34,180.1,6123.4
10223,S10_4698,"Australian Collectors, Co.",20/02/2019,Shipped,Large,49,199.47,9774.03
10237,S10_4698,Vitachrome Inc.,5/4/2019,Shipped,Large,39,180.1,7023.9
10251,S10_4698,Tekni Collectables Inc.,18/05/2019,Shipped,Large,43,164.61,7078.23
10263,S10_4698,Gift Depot Inc.,28/06/2019,Shipped,Large,41,203.34,8336.94
10275,S10_4698,La Rochelle Gifts,23/07/2019,Shipped,Medium,36,191.72,6901.92
10285,S10_4698,Marta's Replicas Co.,27/08/2019,Shipped,Medium,27,201.41,5438.07
10299,S10_4698,"Toys of Finland, Co.",30/09/2019,Shipped,Medium,29,230.46,6683.34
10308,S10_4698,Mini Classics,15/10/2019,Shipped,Medium,20,228.52,4570.4
10318,S10_4698,Diecast Classics Inc.,2/11/2019,Shipped,Large,37,207.22,7667.14
10329,S10_4698,Land of Toys Inc.,15/11/2019,Shipped,Medium,26,225.7,5868.2
10339,S10_4698,"Tokyo Collectables, Ltd",23/11/2019,Shipped,Small,39,76.67,2990.13
10362,S10_4698,Technics Stores Inc.,5/1/2020,Shipped,Medium,22,166.55,3664.1
10374,S10_4698,"Australian Gift Network, Co",2/2/2020,Shipped,Medium,22,174.29,3834.38
10388,S10_4698,FunGiftIdeas.com,3/3/2020,Shipped,Small,21,86.77,1822.17
10403,S10_4698,"UK Collectables, Ltd.",8/4/2020,Shipped,Large,66,180.1,11886.6
10417,S10_4698,Euro Shopping Channel,13/05/2020,Disputed,Large,56,164.61,9218.16
10105,S10_4757,Danish Wholesale Imports,11/2/2018,Shipped,Large,50,144.16,7208
